Name,Ticker,Sub-Industry,Industry,sales_2022,sales_2023,sales_2024,expenses_2022,expenses_2023,expenses_2024,other_income_2022,other_income_2023,other_income_2024,interest_2022,interest_2023,interest_2024,depreciation_2022,depreciation_2023,depreciation_2024,tax%_2022,tax%_2023,tax%_2024,div_payout%_2022,div_payout%_2023,div_payout%_2024,equity_capital_2022,equity_capital_2023,equity_capital_2024,reserves_2022,reserves_2023,reserves_2024,borrowings_2022,borrowings_2023,borrowings_2024,other_liabilities_2022,other_liabilities_2023,other_liabilities_2024,fixed_assets_2022,fixed_assets_2023,fixed_assets_2024,cwip_2022,cwip_2023,cwip_2024,investments_2022,investments_2023,investments_2024,other_assets_2022,other_assets_2023,other_assets_2024,cfo_2022,cfo_2023,cfo_2024,cfi_2022,cfi_2023,cfi_2024,cff_2022,cff_2023,cff_2024,MCap,Price,P/E,PromoterHold,About
Arrow Greentech Limited (BSE:516064),BSE:516064,Food Processing,Materials,"<td class="""">34</td>","<td class="""">109</td>","<td class="""">149</td>","<td class="""">41</td>","<td class="""">85</td>","<td class="""">102</td>",2,2,3,1,1,1,5,7,8,-16%,32%,28%,0%,12%,10%,14,15,15,61,83,112,5,3,1,9,20,17,28,37,37,13,1,3,1,0,0,46,83,104,2,3,18,-2,-14,-14,-2,8,-4,"1,028",682,19.2,64.81%,"Business Overview: [1] [2] AGL is a largest manufacturer of Water Soluble Films in India. It does development, production & marketing of a wide Range of Water Soluble Films including Mouth Dissolving Strips. It also provides security products and intellectual property services."
APL Apollo Tubes Limited (BSE:533758),BSE:533758,Steel,Materials,"<td class="""">13,063</td>","<td class="""">16,166</td>","<td class="""">18,119</td>","<td class="""">12,118</td>","<td class="""">15,143</td>","<td class="""">16,926</td>",40,46,74,44,67,113,109,138,176,26%,26%,25%,14%,22%,21%,50,55,56,"2,414","2,950","3,549",581,873,"1,144","1,407","1,973","2,438","1,837","2,580","3,281",504,374,203,91,96,103,"2,020","2,801","3,600",652,691,"1,112",-530,-876,-916,26,143,27,"41,302","1,489",65.1,28.31%,"Product Portfolio As of FY24, The company's product portfolio comprises: Apollo structural (68% of revenues), Apollo Z (28%), Apollo Galv (4%) [1]"
Bedmutha Industries Limited (NSEI:BEDMUTHA),NSEI:BEDMUTHA,Steel,Materials,"<td class="""">660</td>","<td class="""">687</td>","<td class="""">812</td>","<td class="""">643</td>","<td class="""">670</td>","<td class="""">785</td>",58,62,57,32,34,35,33,32,27,0%,0%,0%,0%,0%,0%,32,32,32,54,67,88,276,251,235,128,149,211,165,146,158,38,35,25,2,2,3,285,317,380,71,72,74,-11,-8,-28,-62,-57,-51,586,182,17.3,57.05%,"Business Overview: [1] [2] [3] BIL is an ISO 9001: 2008 certified  manufacturer and exporter of G I Wire, ACSR Wire, Stay/Guy/Earth Wire 7,19,37  Wire Strands, Spring steel wire, Tyre bead wire, Wire for ropes, etc, and various types of wire and wire products."
Dhatre Udyog Limited (BSE:540080),BSE:540080,Steel,Materials,"<td class="""">12</td>","<td class="""">107</td>","<td class="""">208</td>","<td class="""">11</td>","<td class="""">100</td>","<td class="""">203</td>",102,3,12,0,0,0,1,1,1,35%,28%,28%,0%,0%,0%,0.55,11,11,49,50,60,3,1,0,1,1,6,9,9,9,0,0,0,0,0,18,44,54,49,0,-2,22,0,0,-20,1,3,-1,113,10.3,13.7,64.33%,"Business Overview: [1] DUL is a Secondary Steel Producer and manufacturer of TMT bars including Rebars, MS Grade Angels, Flats, Squares, Rounds, different sized wire rod coils"
Electrotherm (India) Limited (BSE:526608),BSE:526608,Steel,Materials,"<td class="""">2,831</td>","<td class="""">3,074</td>","<td class="""">4,272</td>","<td class="""">2,745</td>","<td class="""">2,940</td>","<td class="""">3,852</td>",7,-30,5,45,67,60,88,49,47,0%,0%,0%,0%,0%,0%,13,13,13,"-1,095","-1,109",-794,"2,087","1,986","1,770",741,862,852,698,638,613,33,26,44,8,8,8,"1,007","1,081","1,177",179,107,351,-14,-2,-68,-189,-103,-294,"1,083",845,2.95,29.90%,Market Share The company holds a global 3.5 Lacs KW market share in the metal melting industry. It commands a 65%+ market share in induction melting equipment used by the steelmaking industry in India. [1]
Tata Steel Limited (BSE:500470),BSE:500470,Steel,Materials,"<td class="""">243,959</td>","<td class="""">243,353</td>","<td class="""">229,171</td>","<td class="""">180,469</td>","<td class="""">211,053</td>","<td class="""">206,923</td>","1,300","1,569","-6,005","5,462","6,299","7,508","9,101","9,335","9,882",17%,56%,328%,16%,50%,-101%,"1,221","1,221","1,247","113,222","101,861","90,788","75,561","84,893","87,082","92,417","97,421","90,195","133,288","146,621","148,814","22,046","31,213","34,356","13,140","8,410","6,258","113,948","99,151","79,885","44,381","21,683","20,301","-10,905","-18,179","-14,253","-23,401","-6,981","-11,097","1,60,625",129,56.7,33.19%,"Product Portfolio [1] The company’s product mix includes flat products such as hot rolled coils, cold rolled coils and galvanised steel, and long products such as wire rods, rebar, ferro alloys, tubes, bearings and wires. The product segments cater to agriculture, automotive, construction, consumer goods, energy and power, engineering and material handling etc."
Ansal Buildwell Limited (BSE:523007),BSE:523007,Real Estate (Development),Real Estate,"<td class="""">188</td>","<td class="""">33</td>","<td class="""">41</td>","<td class="""">165</td>","<td class="""">30</td>","<td class="""">23</td>",3,3,3,5,4,4,4,1,2,42%,196%,37%,0%,0%,5%,7,7,7,104,102,115,30,33,32,330,333,363,5,5,3,0,0,0,42,41,46,424,429,469,61,1,21,-38,0,0,-35,-2,-5,99.8,135,7.04,54.83%,"Business Overview: [1] Company is in the business of real estate development, construction and promotion of Residential/ Commercial Complexes and Townships. At present, company is executing projects in many cities, viz. Gurgaon, Kochi, Amritsar, Jaipur, Faridabad, Gwalior, Pathankot, Jhansi, etc"
Elpro International Limited (BSE:504000),BSE:504000,Real Estate (Development),Real Estate,"<td class="""">72</td>","<td class="""">123</td>","<td class="""">257</td>","<td class="""">46</td>","<td class="""">78</td>","<td class="""">149</td>","1,273",30,30,23,5,25,5,5,5,17%,27%,20%,0%,8%,12%,17,17,17,"1,215","1,247","1,590",56,128,365,92,122,154,193,418,456,0,0,0,"1,077","1,012","1,578",110,83,93,-162,-136,141,387,34,-342,-185,60,202,"1,579",93.2,12.4,75.00%,"Business Segments 1ELPROPARK - It is part of an integrated development comprising a residential complex, school, mall, and daycare. Elpro City Square - Is Pune’s latest entertainment and lifestyle destination offering the finest in retail and fashion. Elpro - It brings a complete range of Dynamic and High-performance Surge suppression products for the complete spectrum of High & Low voltage [1]"
Nyssa Corporation Limited (BSE:504378),BSE:504378,Real Estate (Development),Real Estate,"<td class="""">16.97</td>","<td class="""">6.09</td>","<td class="""">8.46</td>","<td class="""">14.99</td>","<td class="""">5.09</td>","<td class="""">5.25</td>",0.65,0,0,0,0,0.02,0,0,0,15.59%,25.00%,26.33%,0.00%,0.00%,0.00%,3,3,3,23.93,24.8,27.15,0.01,0.01,2.36,3.86,4.69,5.73,0.02,0.01,0.01,0,0,0,0.52,0.64,0.64,30.26,31.85,37.59,5.91,2.99,4.57,-0.5,-0.12,0,-6.02,-2.87,-4.63,13.3,4.44,5.22,0.00%,Services Offered: [1] a) Trading of shares b) Investment Activities c) Construction business.
Sobha Limited (NSEI:SOBHA),NSEI:SOBHA,Real Estate (Development),Real Estate,"<td class="""">2,561</td>","<td class="""">3,310</td>","<td class="""">3,097</td>","<td class="""">2,028</td>","<td class="""">2,941</td>","<td class="""">2,820</td>",84,92,121,308,249,246,72,68,78,27%,28%,34%,16%,27%,58%,95,95,95,"2,328","2,400","2,419","2,529","2,027","1,940","6,578","8,054","9,228",852,899,946,0,2,5,115,115,115,"10,564","11,560","12,615",826,"1,150",647,38,-237,-475,-889,-773,-338,"12,210","1,288",225,52.78%,"Business Segments H1FY25 A) Real Estate (81%) :  Development of residential and commercial properties under the SOBHA brand name with a significant focus on Luxury Projects. B) Contractual and Manufacturing (19%) : EPC contracts catering to external institutional clients. In Manufacturing it deals with Construction sector-related production capabilities like Concrete, Glazing, Interiors, etc., supporting in-house projects and servicing external clients. [1] [2]"
Cineline India Limited (NSEI:CINELINE),NSEI:CINELINE,Real Estate (Operations & Services),Real Estate,"<td class="""">45</td>","<td class="""">141</td>","<td class="""">248</td>","<td class="""">34</td>","<td class="""">116</td>","<td class="""">186</td>",5,27,6,35,34,41,19,22,31,-6%,-138%,21%,0%,0%,0%,15,16,17,94,123,132,322,354,350,18,86,78,361,485,479,3,5,9,0,0,0,84,90,89,10,76,42,11,16,-14,2,-94,-40,311,91.2,,69.60%,"Business Overview: [1] [2] [3] CIL is a part of the Kanakia Group which has interests in residential & corporate real estate development & construction in Mumbai, hospitality, education, entertainment, etc. Company is in the film exhibition business and it operates multiplex chains – Cinemax , in various parts of India. Additionally, Cineline runs single screen theatres, catering to various towns and cities. All the multiplexes and theatres are run under its brand name Moviemax Apart from its core cinema business, CIL also has a presence in renewable energy. It owns & operates a 0.6 MW windmill facility in Gujarat and a 1.6 MW windmill in Maharashtra"
PTC India Limited (NSEI:PTC),NSEI:PTC,Power,Utilities,"<td class="""">16,856</td>","<td class="""">15,674</td>","<td class="""">16,763</td>","<td class="""">15,276</td>","<td class="""">14,563</td>","<td class="""">15,694</td>",23,46,75,757,472,431,101,10,10,26%,25%,24%,46%,52%,48%,296,296,296,"4,427","4,723","4,846","9,771","6,546","4,327","5,387","5,065","5,654","1,693","1,617",43,0,0,0,768,326,284,"17,421","14,686","14,796","3,049","3,575","2,451",46,168,-519,"-2,788","-4,019","-2,042","3,990",135,8.2,16.22%,"Pioneer in Power Trading PTC undertakes trading activities which include long term trading of power generated from large power projects as well as short term trading arising as a result of supply and demand mismatches. It is co - promoter of India’s first electricity exchange (IEX) and does Cross Border Trade with Nepal, Bhutan & Bangladesh. [1] [2]"
B.A.G. Films and Media Limited (BSE:532507),BSE:532507,Broadcasting,Communication Services,"<td class="""">121</td>","<td class="""">112</td>","<td class="""">132</td>","<td class="""">101</td>","<td class="""">99</td>","<td class="""">110</td>",2,1,2,10,9,10,6,5,5,4%,18%,20%,0%,0%,0%,40,40,40,104,102,111,134,125,108,106,118,120,33,30,28,1,1,1,125,125,125,223,229,225,-11,-5,19,28,0,-2,-9,-11,-13,156,7.9,264,46.86%,"Business Overview: [1] BAGFML produces programmes for all genres. It creates wide range from movies, daily soaps, drama and comedy to OTT for different age groups, formats, media and news and non news platforms. Company pitched content production to various OTT platforms including MX player, Applause, etc."
Entertainment Network (India) Limited (NSEI:ENIL),NSEI:ENIL,Broadcasting,Communication Services,"<td class="""">319</td>","<td class="""">511</td>","<td class="""">536</td>","<td class="""">274</td>","<td class="""">597</td>","<td class="""">429</td>",14,24,28,17,17,15,87,90,80,-20%,-3%,17%,-13%,-3%,22%,48,48,48,713,544,724,235,197,193,110,413,292,641,546,497,1,1,1,217,283,308,248,372,450,40,114,127,6,-59,-41,-45,-43,-40,717,151,31.1,71.15%,"Overview [1] ENIL, incorporated in June 1999, has acquired FM radio licences across 63 cities. It is a subsidiary of BCCL (71% stake). The company has 73 frequencies located in 63 cities in India. After 19 years, the Radio Mirchi brand has been changed to just Mirchi."
Mukta Arts Limited (NSEI:MUKTAARTS),NSEI:MUKTAARTS,Entertainment,Communication Services,"<td class="""">132</td>","<td class="""">163</td>","<td class="""">195</td>","<td class="""">113</td>","<td class="""">158</td>","<td class="""">180</td>",22,11,14,12,14,15,18,19,20,39%,8%,7%,0%,0%,0%,11,11,11,-7,-32,-39,118,124,115,127,139,137,130,132,119,7,10,9,6,4,5,106,97,90,36,18,10,-25,-10,-5,-16,-9,-11,195,87.3,,70.71%,"Business Overview: [1] [2] Founded by Mr. Subhash Ghai, MAL is a production house that deals across the entertainment spectrum from Exhibition to Education and has a library of over 42 films. It also provides production facilities to other production houses and independent producers."
Navneet Education Limited (NSEI:NAVNETEDUL),NSEI:NAVNETEDUL,Publishing & Newspapers,Communication Services,"<td class="""">1,112</td>","<td class="""">1,694</td>","<td class="""">1,748</td>","<td class="""">1,017</td>","<td class="""">1,403</td>","<td class="""">1,452</td>",98,79,82,7,13,21,50,58,65,45%,32%,13%,45%,29%,23%,45,45,45,903,"1,105","1,248",135,288,258,186,218,196,249,240,250,4,7,6,167,300,285,850,"1,109","1,206",29,-22,156,-24,-86,-35,-2,101,-122,"3,173",140,16.1,63.35%,Business Segments
Indus Towers Limited (NSEI:INDUSTOWER),NSEI:INDUSTOWER,Telecom. Services,Communication Services,"<td class="""">27,717</td>","<td class="""">28,382</td>","<td class="""">28,601</td>","<td class="""">12,816</td>","<td class="""">18,713</td>","<td class="""">14,044</td>",458,85,"1,490","1,603","1,670","1,864","5,325","5,324","6,060",24%,26%,26%,47%,0%,0%,"2,695","2,695","2,695","19,456","18,415","24,344","19,726","19,185","20,531","6,091","6,278","8,298","31,826","32,384","39,300",179,355,422,"1,652",276,3,"14,311","13,559","16,143","9,121","7,905","11,582","-2,174","-1,730","-7,546","-5,982","-7,133","-3,996","95,469",354,9.54,50.00%,"Business Overview Indus Towers is a provider of tower and related infrastructure sharing services. It is one of the largest telecom tower companies in India based on the number of towers and co-locations operated by the Company. It provides access to its towers, primarily to wireless telecommunication service providers, on a shared basis under long-term contracts. [1]"
Alok Industries Limited (NSEI:ALOKINDS),NSEI:ALOKINDS,Apparel,Consumer Discretionary,"<td class="""">7,310</td>","<td class="""">6,989</td>","<td class="""">5,510</td>","<td class="""">6,745</td>","<td class="""">7,068</td>","<td class="""">5,458</td>",45,65,19,476,501,596,342,365,325,0%,0%,0%,0%,0%,0%,497,497,497,"-18,404","-19,397","-20,272","24,341","24,163","26,015","1,793","2,199","1,168","5,820","5,520","5,215",8,15,18,0,0,0,"2,400","1,927","2,174",225,813,"-1,161",-108,-129,-198,-293,-687,"1,364","9,007",18.2,,75.00%,"Business Divisions 1) Polyester (61%): The co. is fully integrated starting from the continuous polymerization plant to the production of chips, POY, FDY, DTY, and PSF. 2) Apparel Fabric (18%): Includes woven fabric, knitted fabric, garments, and safety textiles. 3) Home Textiles (12%): Sells bedding and terry towels. 4) Cotton Yarn (9%): Produces cotton and cotton blended fabrics in various counts on a wide range of finishes. [1] [2]"
Goldiam International Limited (BSE:526729),BSE:526729,Apparel,Consumer Discretionary,"<td class="""">688</td>","<td class="""">533</td>","<td class="""">603</td>","<td class="""">558</td>","<td class="""">429</td>","<td class="""">488</td>",25,21,14,1,0,0,5,7,6,29%,27%,26%,12%,26%,14%,22,22,21,498,564,609,4,3,5,108,114,98,42,45,45,0,0,0,140,138,168,450,519,519,-10,65,107,95,-2,-28,-90,-31,-54,"4,595",429,48.7,62.38%,"Product Portfolio Co is a supplier of Natural diamond jewellery and Lab grown diamond (LGD) jewellery to global retailers, departmental stores and wholesalers. Its products include Engagement Rings, Wedding Bands, Anniversary Rings, Bridal Sets, Earrings and Pendants. [1] [2] Goldiam has been transitioning from a pure natural diamond in-store jewelry company to a major supplier of Lab Grown Diamond Jewellery, with an omnichannel sales strategy. [3]"
Himatsingka Seide Limited (NSEI:HIMATSEIDE),NSEI:HIMATSEIDE,Apparel,Consumer Discretionary,"<td class="""">3,184</td>","<td class="""">2,678</td>","<td class="""">2,841</td>","<td class="""">2,652</td>","<td class="""">2,407</td>","<td class="""">2,240</td>",18,75,15,181,257,296,158,164,158,33%,-15%,31%,4%,0%,2%,49,49,49,"1,420","1,400","1,510","2,922","2,806","2,898","1,236","1,262","1,321","3,176","3,084","2,947",44,30,32,13,10,2,"2,394","2,394","2,796",68,354,322,-141,-10,-118,121,-401,-228,"1,940",154,20,37.24%,"Business [1] Himatsingka is a vertically integrated global textile major that designs, develops, manufactures and distributes textile products. With 4 manufacturing facilities, its installed capacities for Bedding Products, Bath Products and Cotton Yarn Products are amongst the largest in the world."
K.P.R. Mill Limited (NSEI:KPRMILL),NSEI:KPRMILL,Apparel,Consumer Discretionary,"<td class="""">4,822</td>","<td class="""">6,186</td>","<td class="""">6,060</td>","<td class="""">3,604</td>","<td class="""">4,911</td>","<td class="""">4,823</td>",87,62,67,23,79,74,141,174,189,26%,25%,23%,1%,9%,21%,34,34,34,"3,152","3,673","4,324","1,185","1,348","1,158",486,543,347,"1,940","2,306","2,429",115,87,118,311,129,34,"2,492","3,076","3,284",494,299,678,-942,-105,-294,501,-206,-417,"30,180",882,37.3,70.68%,"Products The company produces a wide range of products such as yarn, fabric, garments, sugar, molasses & ethanol. The company also has a presence in the automobile industry & power generation industry through its subsidiaries. [1] [2]"
Kanani Industries Limited (BSE:506184),BSE:506184,Apparel,Consumer Discretionary,"<td class="""">291</td>","<td class="""">270</td>","<td class="""">223</td>","<td class="""">289</td>","<td class="""">267</td>","<td class="""">222</td>",1,0,1,1,1,1,0,0,0,10%,6%,7%,0%,0%,0%,10,10,20,49,53,43,24,31,6,58,36,26,0,0,0,0,0,0,0,0,0,141,130,95,-2,-2,19,0,0,0,2,6,-26,50.1,2.52,193,33.79%,"Product Profile: [1] Company deals in all kinds of diamond-studded jewelry e.g. rings, necklaces, earrings, bracelets, pendants, etc."
Shri Dinesh Mills Limited (BSE:503804),BSE:503804,Apparel,Consumer Discretionary,"<td class="""">89</td>","<td class="""">97</td>","<td class="""">99</td>","<td class="""">72</td>","<td class="""">86</td>","<td class="""">92</td>",26,25,60,1,1,2,5,6,5,11%,18%,23%,14%,23%,33%,6,6,6,132,152,196,7,14,24,41,48,45,44,49,55,0,0,0,92,116,163,50,55,54,13,8,-4,-11,-11,2,1,1,3,203,362,20.8,49.79%,"Product Profile: [1] a) Press Felts: Dinflo, Dinvent, Dinply b) Dryer Screens: Hi Contact Mono (Regular), Hi Contact Mono (Uni-Screen), Spiral Dryer Fabrics c) Fiber & Asbestos Felts: Dinasorb-Pipe Felt, Dinasorb-Sheet Felt d) Other Products: Filter Fabrics"
Weizmann Limited (NSEI:WEIZMANIND),NSEI:WEIZMANIND,Apparel,Consumer Discretionary,"<td class="""">100</td>","<td class="""">135</td>","<td class="""">123</td>","<td class="""">94</td>","<td class="""">122</td>","<td class="""">108</td>",2,0,0,0,1,1,3,3,3,39%,31%,20%,23%,19%,9%,16,16,16,50,49,57,18,12,8,25,25,17,28,27,26,0,0,1,43,36,35,39,39,35,10,10,7,2,-2,-2,-10,-8,-5,188,118,25.5,68.34%,"Business Overview: [1] WL is the flagship company of the Weizmann Group with business interests in Textile Processing and Exports, Fin-Tech and Renewable Energy. Company is engaged in textile manufacturing of African print fabric, finished fabric, trading of fabrics and textile processing. Company also undertakes orders on job work basis for dyeing, colouring etc."
Atul Auto Limited (BSE:531795),BSE:531795,Auto & Truck,Consumer Discretionary,"<td class="""">315</td>","<td class="""">513</td>","<td class="""">527</td>","<td class="""">332</td>","<td class="""">477</td>","<td class="""">487</td>",1,2,2,8,16,13,10,16,18,-23%,46%,34%,0%,0%,0%,11,12,14,266,336,406,188,171,144,81,90,91,199,258,250,60,1,0,0,17,23,285,332,382,-169,-18,-1,4,-24,-14,164,39,30,"1,320",476,89.9,42.74%,Business Segments FY23 1. Automobiles Business (92%): The Company's core business is manufacturing and sales of three-wheeler automobiles and spare parts. It provides after-sales support to the customers through the dealership network.
Maruti Suzuki India Limited (NSEI:MARUTI),NSEI:MARUTI,Auto & Truck,Consumer Discretionary,"<td class="""">88,330</td>","<td class="""">118,410</td>","<td class="""">141,858</td>","<td class="""">82,578</td>","<td class="""">105,288</td>","<td class="""">123,232</td>","1,861","2,415","4,248",127,252,194,"2,789","4,846","5,256",17%,21%,23%,47%,34%,29%,151,157,157,"55,182","74,443","85,479",426,"1,248",119,"18,896","24,258","29,550","13,747","27,941","27,865","2,936","4,143","7,735","42,035","49,184","57,296","15,937","18,837","22,408","1,840","10,815","16,801",-239,"-8,820","-11,865","-1,607","-1,214","-4,062","3,80,458","12,098",27.1,58.28%,Market share of major car manufacturers (%) [1] Maruti Suzuki - 45.0 Hyundai - 15 Tata - 13 Mahindra - 10 Kia - 7 Others: 13%
CIE Automotive India Limited (BSE:532756),BSE:532756,Auto Parts,Consumer Discretionary,"<td class="""">6,765</td>","<td class="""">8,753</td>","<td class="""">9,280</td>","<td class="""">5,823</td>","<td class="""">7,581</td>","<td class="""">7,856</td>",32,-749,409,35,23,107,273,296,322,41%,231%,20%,24%,-70%,17%,379,379,379,"4,818","4,719","5,609","1,487",985,855,"3,137","3,837","2,909","6,587","5,547","5,810",125,119,54,438,576,821,"2,671","3,678","3,068","1,051","1,118","1,383",-762,-637,-905,-363,-488,-427,"17,183",452,21,65.70%,"Overview Company is part of the CIE Automotive Group of Spain and is the Group’s vehicle for its forgings business globally. It is a multi-locational and multi-technology automotive components company with manufacturing facilities and engineering capabilities of its own and its subsidiaries in India and in Germany, Spain, Lithuania, and Italy and Mexico. [1]"
Endurance Technologies Limited (NSEI:ENDURANCE),NSEI:ENDURANCE,Auto Parts,Consumer Discretionary,"<td class="""">7,549</td>","<td class="""">8,804</td>","<td class="""">10,241</td>","<td class="""">6,585</td>","<td class="""">7,768</td>","<td class="""">8,913</td>",10,35,86,6,21,43,382,422,474,21%,24%,24%,19%,21%,18%,141,141,141,"3,779","4,271","4,837",430,515,765,"1,507","1,875","2,128","2,715","3,143","3,630",119,171,159,487,672,793,"2,536","2,816","3,289",742,862,"1,057",-550,-905,-945,-302,-72,105,"27,519","1,963",35.8,75.00%,Company history The company was started by Anurag Jain with the help of his uncle Rahul Bajaj (The chairman of Bajaj group of companies) in 1985. Initially the company did only Aluminum die casting work for Bajaj Auto and Bajaj auto was their sole client till 2004 and the company ventured into various segments only after 2004. [1]
Fiem Industries Limited (NSEI:FIEMIND),NSEI:FIEMIND,Auto Parts,Consumer Discretionary,"<td class="""">1,572</td>","<td class="""">1,848</td>","<td class="""">2,029</td>","<td class="""">1,378</td>","<td class="""">1,599</td>","<td class="""">1,760</td>",3,11,16,9,7,3,59,63,59,26%,26%,26%,28%,28%,32%,13,13,26,629,748,861,46,24,23,361,268,308,508,494,496,1,5,5,77,0,0,463,554,717,92,131,135,-74,39,-69,-61,-55,-43,"3,440","1,306",18.5,58.96%,"Market Leader Co. enjoys a significant market share for supply of automotive lighting & signaling equipment and rearview mirrors to Two-wheeler and Four-wheeler OEMs [1] In FY19, they had 27-30% market share of the total 2 Wheeler headlamp market in India. [2] , which increased to 30%+ in FY22 [3]"
JTEKT India Limited (BSE:520057),BSE:520057,Auto Parts,Consumer Discretionary,"<td class="""">1,333</td>","<td class="""">1,589</td>","<td class="""">2,044</td>","<td class="""">1,230</td>","<td class="""">1,461</td>","<td class="""">1,857</td>",5,3,5,5,4,5,83,71,73,33%,27%,24%,31%,26%,15%,24,24,24,574,607,678,49,71,62,286,297,315,425,399,481,10,97,25,0,0,0,498,505,574,91,108,95,-40,-126,-84,-44,14,-28,"3,758",148,47.9,74.98%,"Product Portfolio 1) Steering & Columns (~96%): The co. manufactures high-performance rack and pinion manual steering gear, hydraulic power steering System, recirculating ball screw assembly, column type electric power steering for passenger vehicle, tilt & telescopic steering column, intermediate shaft, advanced columns, etc. [1] [2]"
Rane Holdings Limited (BSE:505800),BSE:505800,Auto Parts,Consumer Discretionary,"<td class="""">2,695</td>","<td class="""">3,511</td>","<td class="""">3,537</td>","<td class="""">2,519</td>","<td class="""">3,190</td>","<td class="""">3,208</td>",61,9,-45,34,50,71,129,142,137,52%,37%,-98%,71%,39%,29%,14,14,14,762,794,892,788,866,853,896,914,885,843,866,799,28,38,45,353,345,373,"1,236","1,339","1,428",15,186,233,-114,-152,-105,65,-14,-138,"2,003","1,402",17.8,46.55%,"Group Structure [1] Subsidiaries 1 Rane (Madras) Ltd. (RML) - 71.77% - Manual Steering Gears, Steering Linkages, Suspension Components, Light Metal Casting Products. 2 Rane Engine Valve Ltd. (REVL) - 58.29% - Engine Valves, Valve Guides 3 Rane Brake Lining Ltd. (RBL) - 50.03% - Brake Linings and Disc Pads. JV/Associate 1 ZF Rane Automotive India Pvt. Ltd. - 49% - Hydraulic Power Steering systems, Steering Wheel, Seat Belts, Airbags. 2 Rane NSK Steering Systems Pvt. Ltd.  - 49% - Electric Power Steering Systems, Manual Steering Column, Steering Shafts"
Aptech Limited (NSEI:APTECHT),NSEI:APTECHT,Education,Consumer Discretionary,"<td class="""">225</td>","<td class="""">456</td>","<td class="""">436</td>","<td class="""">184</td>","<td class="""">380</td>","<td class="""">394</td>",11,13,9,0,1,2,8,6,8,-14%,18%,28%,42%,37%,90%,41,41,58,169,215,202,0,7,8,101,218,140,19,23,28,1,3,4,23,23,23,269,433,354,45,99,-8,-1,-54,-24,-6,-21,-28,887,153,46.7,47.35%,Business Segments
Career Point Limited (NSEI:CAREERP),NSEI:CAREERP,Education,Consumer Discretionary,"<td class="""">54</td>","<td class="""">85</td>","<td class="""">102</td>","<td class="""">24</td>","<td class="""">70</td>","<td class="""">36</td>",5,6,13,3,2,2,4,4,4,17%,20%,22%,8%,15%,3%,18,18,18,453,461,513,26,21,35,23,61,73,204,207,192,4,0,0,4,1,2,307,353,445,42,3,-29,10,4,18,-49,-10,7,589,326,9.5,63.68%,"Business Overview: [1] CPL provides education from preschool to University through CP Universe , a complete educational hub for School Education, and Coaching Services"
Sheela Foam Limited (NSEI:SFL),NSEI:SFL,Furn/Home Furnishings,Consumer Discretionary,"<td class="""">2,866</td>","<td class="""">2,873</td>","<td class="""">2,982</td>","<td class="""">2,550</td>","<td class="""">2,575</td>","<td class="""">2,678</td>",79,86,136,17,21,69,81,90,116,26%,26%,24%,0%,0%,0%,24,49,54,"1,368","1,549","2,866",466,571,"1,493",496,533,909,883,865,"3,129",120,287,166,618,768,878,734,781,"1,150",197,218,406,-306,-272,"-2,258",93,56,"1,854","9,707",892,99.8,65.69%,"Largest Manufacturer of Polyurethane Foam The company is India's largest manufacturer of flexible slab stock Polyutherane (PU) foam and mattresses under Sleepwell, Furlenco, and Kurlon [1] with a 30% market share in India’s mattress segment and a 40% market share in Australia . The Kurlon brand holds a 12-13% market share of the modern mattress market. [2] [3] [4]"
Asian Hotels (North) Limited (BSE:500023),BSE:500023,Hotel/Gaming,Consumer Discretionary,"<td class="""">252</td>","<td class="""">73</td>","<td class="""">131</td>","<td class="""">198</td>","<td class="""">92</td>","<td class="""">124</td>",15,-568,-325,127,91,110,18,17,25,-14%,0%,0%,0%,0%,0%,19,19,19,611,409,218,"1,212","1,265","1,079",291,310,239,"1,727","1,626","1,479",279,297,1,1,1,0,126,78,76,110,41,15,-1,1,-3,-112,-43,-11,597,310,,3.17%,"Business Overview : [1] Company is a part of the Jatia Group. It owns a 5-star deluxe hotel,  with 507 rooms and suites in Delhi, by the name of Hyatt Regency in Delhi. It is also in the business of power generation operations & Real Estate operations"
CHL Limited (BSE:532992),BSE:532992,Hotel/Gaming,Consumer Discretionary,"<td class="""">62</td>","<td class="""">122</td>","<td class="""">135</td>","<td class="""">50</td>","<td class="""">87</td>","<td class="""">94</td>",2,1,19,13,21,26,15,17,17,3%,204%,44%,0%,0%,0%,11,11,11,-99,-133,-126,255,270,251,141,184,204,280,278,273,1,0,1,0,1,1,25,54,65,18,52,52,-1,-2,-26,-11,-26,-33,192,35,17.8,72.84%,"Business Units: [1] a) Hotel The Suryaa: This is a 5-Star Deluxe Hotel with 160 Deluxe Rooms, 70 Club Rooms, 6 Deluxe Suites, 3 Luxury Suites,  and 5 Disable Rooms. The Hotel offers international, contemporary and casual food b) Sampan: It is a 100 cover restaurant for authentic Cantonese and Pan Asian restaurant with a panoramic roof top view of the city. c) Ssence: A 138 cover multi cuisine restaurant operations with global cuisine-dining facility at the lobby level d) Atrium Lounge Bar: It is equipped with 64 cover capacity to consume world’s finest liquors and sprits e) Club one: It is a fitness center which offers a full-fledged Ayurvedic Treatment Center cum Spa, physical therapy, cardiopulmonary rehabilitation and weight control programs"
